Kraj_ID,Kraj,Věková kategorie,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
CZ031,Jihočeský kraj,65–74,"0,0011","0,0010",,"0,0006","0,0006","0,0012","0,0007",,"0,0007","0,0007",,,,"0,0008",,"0,0016","0,0008",,,"0,0034",,"0,0013","0,0026",,"0,0055","0,0041","0,0039",,"0,0011","0,0013"
CZ031,Jihočeský kraj,75–84,"0,0010","0,0009",,"0,0005","0,0015","0,0010","0,0016",,,"0,0004",,,,"0,0005",,"0,0005","0,0009","0,0005","0,0019","0,0020",,"0,0024","0,0005","0,0010","0,0037","0,0041","0,0013",,"0,0021","0,0031"
CZ031,Jihočeský kraj,85+,"0,0017","0,0015","0,0024",,,"0,0007","0,0007","0,0007",,,,,,,"0,0014","0,0032","0,0007","0,0018","0,0023","0,0017","0,0006","0,0045","0,0027",,"0,0045","0,0023","0,0040",,"0,0018","0,0024"
CZ064,Jihomoravský kraj,Celá populace,"0,0018","0,0009","0,0002","0,0003","0,0003","0,0008","0,0004","0,0001","0,0002","0,0004","0,0002","0,0004","0,0002","0,0008","0,0009","0,0005","0,0004","0,0006","0,0006","0,0021","0,0004","0,0004","0,0006","0,0014","0,0019","0,0014","0,0009","0,0001","0,0007","0,0028"
CZ064,Jihomoravský kraj,0–19,,"0,0067",,,,,,,,,,,,,,,,,,,"0,0152",,,,"0,0161","0,0167",,,,
CZ064,Jihomoravský kraj,20–44,"0,0018","0,0019",,,,,,,,,,,,"0,0025",,"0,0052",,,,"0,0028",,,"0,0032",,"0,0028","0,0030","0,0031",,,
CZ064,Jihomoravský kraj,45–64,"0,0013","0,0004",,,,,"0,0004",,,"0,0004","0,0004","0,0009",,"0,0009","0,0005","0,0005","0,0005","0,0005",,"0,0046",,,"0,0017","0,0006","0,0018","0,0006","0,0011",,,"0,0020"
CZ064,Jihomoravský kraj,65–74,"0,0018","0,0006","0,0003",,"0,0007",,"0,0004",,,,,"0,0004","0,0005","0,0005",,,,"0,0004","0,0009","0,0008",,"0,0008",,"0,0004","0,0011","0,0019","0,0010",,"0,0007","0,0031"
CZ064,Jihomoravský kraj,75–84,"0,0013","0,0008","0,0003","0,0003","0,0003","0,0011",,,"0,0002","0,0002",,"0,0002","0,0002","0,0007","0,0010","0,0005","0,0005","0,0014","0,0011","0,0017",,,"0,0003","0,0020","0,0026","0,0012","0,0007","0,0002","0,0012","0,0033"
CZ064,Jihomoravský kraj,85+,"0,0030","0,0015",,"0,0011","0,0004","0,0021","0,0010","0,0004","0,0004","0,0012","0,0004","0,0004",,"0,0011","0,0018","0,0003","0,0006",,"0,0003","0,0018","0,0009","0,0008","0,0005","0,0020","0,0017","0,0012","0,0009",,"0,0007","0,0028"
CZ041,Karlovarský kraj,Celá populace,"0,0010","0,0003","0,0003",,,,,"0,0003",,"0,0003",,"0,0003",,"0,0003",,"0,0003",,"0,0010","0,0003","0,0019",,"0,0009","0,0003","0,0012","0,0026","0,0035","0,0007",,,"0,0006"
CZ041,Karlovarský kraj,20–44,,,"0,0055",,,,,,,,,,,,,,,,,"0,0174",,,,"0,0097","0,0102","0,0103",,,,
CZ041,Karlovarský kraj,45–64,"0,0013",,,,,,,,,,,,,,,,,"0,0042",,"0,0015",,"0,0017","0,0017",,"0,0017","0,0018","0,0017",,,
CZ041,Karlovarský kraj,65–74,,,,,,,,,,"0,0013",,"0,0015",,,,,,,,,,,,"0,0034","0,0021","0,0023","0,0019",,,
CZ041,Karlovarský kraj,75–84,"0,0027",,,,,,,,,,,,,"0,0010",,"0,0010",,,"0,0011",,,"0,0021",,,"0,0030","0,0049",,,,"0,0019"
CZ041,Karlovarský kraj,85+,,"0,0032",,,,,,"0,0022",,,,,,,,,,,,"0,0045",,,,,"0,0024","0,0036",,,,
CZ063,Kraj Vysočina,Celá populace,"0,0021","0,0023","0,0007","0,0004","0,0004","0,0017","0,0007","0,0004",,"0,0002",,"0,0022","0,0002","0,0010","0,0010","0,0016","0,0010","0,0004","0,0008","0,0018","0,0008","0,0019","0,0016","0,0030","0,0040","0,0035","0,0019","0,0003","0,0017","0,0035"
CZ063,Kraj Vysočina,0–19,,,,,,,,,,,,"0,0185",,,,,,,,,,,,,,,,,"0,0313",
CZ063,Kraj Vysočina,20–44,,,,,,,,"0,0049",,,,,,,,,,,,"0,0081",,,,,,,,,,
CZ063,Kraj Vysočina,45–64,"0,0020",,,"0,0010",,,,,,,,"0,0010",,"0,0023","0,0011","0,0023",,,"0,0012",,,"0,0015","0,0030","0,0014","0,0029","0,0042","0,0014",,"0,0015","0,0016"
CZ063,Kraj Vysočina,65–74,"0,0007",,,"0,0007",,"0,0008",,,,,,"0,0009","0,0010",,"0,0011","0,0010","0,0022",,"0,0010","0,0018",,"0,0010","0,0009","0,0044","0,0036","0,0076","0,0015",,"0,0025","0,0009"
CZ063,Kraj Vysočina,75–84,"0,0028","0,0028","0,0006",,"0,0012","0,0025","0,0006","0,0006",,,,"0,0010",,"0,0011","0,0006","0,0011",,"0,0006","0,0006","0,0030","0,0020","0,0030","0,0020","0,0006","0,0045","0,0018","0,0029",,"0,0011","0,0044"
CZ063,Kraj Vysočina,85+,"0,0032","0,0069","0,0025",,,"0,0030","0,0023",,,"0,0009",,"0,0064",,"0,0009","0,0017","0,0024","0,0022","0,0008","0,0007","0,0007","0,0007","0,0018","0,0013","0,0051","0,0045","0,0027","0,0014","0,0010","0,0015","0,0051"
CZ052,Královéhradecký kraj,Celá populace,"0,0006","0,0011","0,0005","0,0005","0,0002","0,0010","0,0017","0,0005","0,0002","0,0003",,"0,0002",,"0,0011","0,0002","0,0012",,"0,0009","0,0003","0,0012",,"0,0014",,"0,0016","0,0056","0,0027","0,0010",,"0,0021","0,0022"
CZ052,Královéhradecký kraj,0–19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,0323",
CZ052,Královéhradecký kraj,20–44,"0,0041",,,,,,,,,,,,,,,"0,0116",,"0,0061","0,0067",,,,,,,,,,"0,0065",
CZ052,Královéhradecký kraj,45–64,,"0,0009",,,,"0,0019","0,0020",,,"0,0009",,,,"0,0010",,"0,0010",,"0,0010",,"0,0049",,"0,0036",,"0,0014","0,0041","0,0118",,,"0,0014","0,0031"
CZ052,Královéhradecký kraj,65–74,,,,,,"0,0007","0,0008","0,0007",,,,"0,0009",,,,"0,0009",,"0,0009","0,0008",,,,,"0,0015","0,0057","0,0037",,,"0,0015","0,0016"
CZ052,Královéhradecký kraj,75–84,"0,0016","0,0005","0,0011","0,0011","0,0006","0,0011","0,0006","0,0011","0,0005","0,0005",,,,"0,0010","0,0005","0,0010",,,,"0,0005",,"0,0018",,"0,0019","0,0071","0,0012","0,0005",,"0,0025","0,0024"
CZ052,Královéhradecký kraj,85+,,"0,0037","0,0008","0,0007",,"0,0007","0,0041",,,,,,,"0,0024",,"0,0006",,"0,0013",,"0,0011",,"0,0011",,"0,0015","0,0054",,"0,0026",,"0,0015","0,0021"
CZ051,Liberecký kraj,Celá populace,"0,0009","0,0020","0,0002","0,0009","0,0009","0,0005","0,0013",,"0,0002","0,0004","0,0002",,,"0,0005",,"0,0007","0,0021","0,0002","0,0009","0,0027","0,0002","0,0031",,"0,0006","0,0036","0,0007","0,0010","0,0002","0,0010","0,0042"
CZ051,Liberecký kraj,0–19,,,,,,,,,,,,,,,,,,,,"0,0333",,,,,"0,0286","0,0345",,,,
CZ051,Liberecký kraj,20–44,,,,,,,,,,,"0,0060",,,,,"0,0071",,,,,,,,,,,,,"0,0081","0,0071"
CZ051,Liberecký kraj,45–64,,,"0,0011",,,"0,0011","0,0010",,,,,,,,,"0,0011","0,0011",,,"0,0012","0,0013",,,"0,0015","0,0016",,"0,0015",,,"0,0055"
CZ051,Liberecký kraj,65–74,"0,0008","0,0024",,,,,,,,,,,,"0,0012",,,,,,"0,0030",,"0,0034",,,"0,0016","0,0008","0,0015","0,0006",,"0,0035"
CZ051,Liberecký kraj,75–84,"0,0007","0,0008",,"0,0015","0,0008","0,0008","0,0015",,"0,0007","0,0006",,,,"0,0007",,,"0,0015",,"0,0016","0,0016",,"0,0058",,,"0,0080","0,0008","0,0013",,"0,0019","0,0043"
CZ051,Liberecký kraj,85+,"0,0025","0,0062",,"0,0023","0,0034",,"0,0033",,,"0,0013",,,,,,"0,0010","0,0060","0,0009","0,0017","0,0041",,"0,0023",,"0,0014","0,0021",,,,"0,0007","0,0039"
CZ080,Moravskoslezský kraj,Celá populace,"0,0009","0,0012","0,0004","0,0003","0,0005","0,0020","0,0019","0,0002","0,0008","0,0010","0,0006","0,0005","0,0007","0,0008","0,0008","0,0023","0,0016","0,0019","0,0012","0,0031","0,0015","0,0013","0,0027","0,0033","0,0023","0,0012","0,0009",,"0,0002","0,0018"
CZ080,Moravskoslezský kraj,0–19,"0,0040","0,0038",,,,"0,0067","0,0065",,,,,,,,,,"0,0133",,,,,,"0,0128",,,,,,,
CZ080,Moravskoslezský kraj,20–44,"0,0027","0,0014",,,,"0,0016",,,,,,,,"0,0020",,"0,0081","0,0044","0,0064",,"0,0023",,,"0,0078",,"0,0051","0,0049",,,,"0,0026"
CZ080,Moravskoslezský kraj,45–64,,"0,0006",,"0,0003",,"0,0003","0,0010",,"0,0003","0,0003",,"0,0006","0,0007",,,"0,0014","0,0003","0,0020",,"0,0034","0,0004","0,0008","0,0025","0,0021","0,0040","0,0017","0,0012",,"0,0004","0,0014"
CZ080,Moravskoslezský kraj,65–74,"0,0005","0,0003",,,,"0,0012",,,"0,0003","0,0003",,"0,0004","0,0004","0,0007","0,0007","0,0004","0,0007","0,0017","0,0007","0,0022","0,0006","0,0012","0,0022","0,0030","0,0015","0,0015","0,0018",,,"0,0013"
CZ080,Moravskoslezský kraj,75–84,"0,0017","0,0016","0,0012","0,0006","0,0003","0,0023","0,0028","0,0005","0,0007","0,0009","0,0009","0,0005","0,0005","0,0005","0,0010","0,0017","0,0018","0,0013","0,0016","0,0029","0,0005","0,0013","0,0022","0,0031","0,0028","0,0012","0,0008",,"0,0002","0,0020"
CZ080,Moravskoslezský kraj,85+,"0,0005","0,0023","0,0005","0,0005","0,0027","0,0047","0,0044","0,0004","0,0022","0,0037","0,0021","0,0005","0,0019","0,0022","0,0021","0,0050","0,0027","0,0024","0,0026","0,0041","0,0046","0,0017","0,0032","0,0051","0,0011","0,0003","0,0002",,"0,0003","0,0023"
CZ071,Olomoucký kraj,Celá populace,"0,0009","0,0027","0,0001","0,0001","0,0003","0,0009","0,0012","0,0002","0,0003","0,0002",,,"0,0002","0,0002","0,0002","0,0003","0,0007","0,0008","0,0001","0,0004","0,0002","0,0011","0,0015","0,0010","0,0022","0,0009","0,0006","0,0001","0,0017","0,0017"
CZ071,Olomoucký kraj,0–19,,,,,,,,,,,,,,,,,,,,,,,"0,0244",,,,,,,
CZ071,Olomoucký kraj,20–44,,"0,0055","0,0030",,,,,,,,,,,,,,"0,0077","0,0046",,,,,,,"0,0047",,,,,
CZ071,Olomoucký kraj,45–64,,,,,,"0,0016",,,,,,,,,,"0,0007","0,0008",,"0,0008",,,"0,0028","0,0019","0,0009","0,0020","0,0019","0,0009",,"0,0010","0,0011"
CZ071,Olomoucký kraj,65–74,"0,0011","0,0005",,,,"0,0006","0,0006",,"0,0007",,,,,"0,0008",,,,,,"0,0014",,"0,0006","0,0026",,"0,0033","0,0013","0,0011",,"0,0006","0,0007"
CZ071,Olomoucký kraj,75–84,,"0,0019",,"0,0005",,"0,0010",,"0,0005",,"0,0004",,,"0,0005",,,,,,,"0,0005","0,0005","0,0010","0,0016","0,0020","0,0025","0,0010","0,0004","0,0004","0,0013","0,0027"
CZ071,Olomoucký kraj,85+,"0,0032","0,0087",,,"0,0014","0,0007","0,0047",,"0,0007",,,,,,"0,0007","0,0006","0,0012","0,0024",,,,"0,0010",,"0,0009","0,0009",,"0,0004",,"0,0035","0,0020"
CZ053,Pardubický kraj,Celá populace,"0,0009","0,0022","0,0009","0,0004","0,0002","0,0017","0,0006","0,0002","0,0004",,"0,0002","0,0008","0,0002","0,0006","0,0010","0,0004","0,0008","0,0006","0,0006","0,0011","0,0006","0,0017","0,0013","0,0024","0,0054","0,0029","0,0008",,"0,0021","0,0024"
CZ053,Pardubický kraj,0–19,,,,,,"0,0161",,,,,,,,,,,,,,,,,,,,"0,0435",,,,
CZ053,Pardubický kraj,20–44,,,"0,0048",,,,,,,,,,,,"0,0071",,,,,,,,,,,,,,"0,0075",
CZ053,Pardubický kraj,45–64,,"0,0030",,,,,,,,,,,,,,"0,0011","0,0011",,,"0,0012","0,0013","0,0025","0,0027",,"0,0038","0,0042",,,,
CZ053,Pardubický kraj,65–74,"0,0006","0,0030","0,0007",,"0,0007","0,0007","0,0008",,,,,,,,"0,0010",,"0,0010",,,"0,0018",,,"0,0008","0,0016","0,0047","0,0016","0,0007",,"0,0008","0,0009"
CZ053,Pardubický kraj,75–84,"0,0017",,"0,0006","0,0007",,"0,0025",,,"0,0006",,"0,0005","0,0016","0,0005","0,0005",,"0,0006",,"0,0016","0,0017",,"0,0006","0,0012",,"0,0020","0,0078","0,0049","0,0015",,"0,0016","0,0022"
CZ053,Pardubický kraj,85+,"0,0009","0,0042","0,0019","0,0009",,"0,0025","0,0017","0,0009","0,0009",,,"0,0010",,"0,0019","0,0027",,"0,0016",,,"0,0019","0,0007","0,0030","0,0025","0,0046","0,0051","0,0011","0,0005",,"0,0040","0,0048"
CZ032,Plzeňský kraj,Celá populace,"0,0013","0,0001","0,0002","0,0006","0,0003","0,0005","0,0025","0,0003",,,,"0,0003",,,"0,0005","0,0007","0,0003","0,0002","0,0003","0,0005","0,0002","0,0002","0,0007","0,0019","0,0024","0,0022","0,0016","0,0001","0,0007","0,0016"
CZ032,Plzeňský kraj,0–19,,,,,,,,,,,,,,,,,,,,"0,0417",,,,,,,,,,
CZ032,Plzeňský kraj,20–44,,,,,,,,,,,,,,,,,,"0,0056",,"0,0066",,,,,,"0,0083",,,,"0,0057"
CZ032,Plzeňský kraj,45–64,,,,,,,,,,,,,,,,"0,0009","0,0010",,,,,,,,"0,0022","0,0012","0,0012","0,0010","0,0012",
CZ032,Plzeňský kraj,65–74,,,,,"0,0006",,"0,0007",,,,,,,,,,,,"0,0008",,,,,"0,0021","0,0032","0,0027","0,0018",,"0,0020","0,0007"
CZ032,Plzeňský kraj,75–84,"0,0033","0,0005","0,0005","0,0010","0,0005","0,0006","0,0044",,,,,"0,0004",,,"0,0010","0,0010",,,,,,,"0,0005","0,0016","0,0034","0,0015","0,0009",,"0,0004","0,0015"
CZ032,Plzeňský kraj,85+,"0,0019",,,"0,0017",,"0,0016","0,0047","0,0017",,,,"0,0010",,,"0,0008","0,0008","0,0007",,"0,0006","0,0006","0,0006","0,0006","0,0017","0,0032","0,0011","0,0026","0,0024",,,"0,0028"
CZ020,Středočeský kraj,Celá populace,"0,0011","0,0006","0,0005","0,0003","0,0004","0,0006","0,0015","0,0004",,"0,0008",,"0,0006","0,0001","0,0003","0,0006","0,0006","0,0006","0,0008","0,0002","0,0014","0,0001","0,0011","0,0007","0,0010","0,0024","0,0026","0,0011","0,0002","0,0011","0,0017"
CZ020,Středočeský kraj,0–19,,,"0,0072",,,,,,,,,,,,,,,"0,0125",,,,,,"0,0133",,,,,,"0,0278"
CZ020,Středočeský kraj,20–44,"0,0016","0,0036",,,"0,0021","0,0043",,,,,,,,,"0,0023","0,0074",,,,,,"0,0026",,,"0,0024","0,0116",,,"0,0028",
CZ020,Středočeský kraj,45–64,"0,0007",,,"0,0004","0,0004",,"0,0008",,,"0,0004",,"0,0004",,,"0,0004","0,0004","0,0017","0,0009",,"0,0023",,"0,0005","0,0032",,"0,0053","0,0027","0,0010",,"0,0011","0,0016"
CZ020,Středočeský kraj,65–74,,,"0,0008",,,"0,0003","0,0009","0,0007",,,,,,,,,"0,0008","0,0004",,"0,0020",,"0,0003","0,0003","0,0006","0,0038","0,0026","0,0013",,"0,0012","0,0007"
CZ020,Středočeský kraj,75–84,"0,0027","0,0012","0,0005","0,0005","0,0006","0,0005","0,0013","0,0003",,"0,0011",,"0,0006",,"0,0007","0,0007","0,0005","0,0005","0,0010","0,0003","0,0010",,"0,0016","0,0003","0,0011","0,0016","0,0034","0,0009","0,0008","0,0013","0,0015"
CZ020,Středočeský kraj,85+,"0,0004","0,0007","0,0004","0,0004","0,0004","0,0011","0,0032","0,0007",,"0,0017",,"0,0017","0,0004","0,0004","0,0008","0,0007",,"0,0006","0,0003","0,0009","0,0003","0,0016","0,0003","0,0016","0,0007","0,0010","0,0013",,"0,0007","0,0023"
CZ042,Ústecký kraj,Celá populace,"0,0003","0,0012","0,0006","0,0016","0,0003","0,0008","0,0016","0,0005","0,0004","0,0005","0,0006","0,0011",,"0,0009","0,0006","0,0007","0,0006","0,0010","0,0003","0,0010","0,0002","0,0009","0,0008","0,0005","0,0015","0,0022","0,0003","0,0003","0,0021","0,0025"
CZ042,Ústecký kraj,0–19,,,,,,,,,,,,,,"0,0106",,,,,,,,"0,0303",,,,,,,,
CZ042,Ústecký kraj,20–44,,,,"0,0022",,"0,0028","0,0026",,,,,,,"0,0027","0,0030","0,0093",,,,,,,,,"0,0035","0,0034","0,0034",,,"0,0041"
CZ042,Ústecký kraj,45–64,,,,"0,0010",,"0,0005","0,0005","0,0005",,"0,0005",,,,"0,0005","0,0005","0,0009","0,0005","0,0029","0,0005","0,0005",,"0,0006","0,0019",,"0,0019","0,0041",,"0,0005","0,0021","0,0036"
CZ042,Ústecký kraj,65–74,"0,0004","0,0014","0,0004","0,0016",,,"0,0009","0,0005","0,0005",,"0,0005","0,0010",,"0,0006",,,"0,0005","0,0015",,"0,0018","0,0004","0,0004","0,0008","0,0004","0,0011","0,0015","0,0003","0,0003","0,0019","0,0020"
CZ042,Ústecký kraj,75–84,"0,0008","0,0016","0,0008","0,0012","0,0004","0,0008","0,0023",,"0,0003","0,0003","0,0010","0,0016",,"0,0011","0,0010",,,,"0,0004","0,0015",,"0,0008","0,0004","0,0012","0,0016","0,0011",,,"0,0019","0,0018"
CZ042,Ústecký kraj,85+,,"0,0025","0,0016","0,0030","0,0014","0,0020","0,0027","0,0014","0,0014","0,0023","0,0008","0,0023",,"0,0007",,"0,0006","0,0017",,"0,0005",,"0,0005","0,0009","0,0005","0,0005","0,0014","0,0028","0,0004","0,0008","0,0031","0,0034"
CZ072,Zlínský kraj,Celá populace,"0,0015","0,0005",,,,,"0,0008","0,0002",,"0,0002","0,0003","0,0005",,"0,0002","0,0003","0,0005","0,0007",,"0,0003","0,0011",,"0,0003","0,0005",,"0,0009","0,0016","0,0005","0,0001","0,0006","0,0013"
CZ072,Zlínský kraj,20–44,"0,0103",,,,,,,,,,,,,,"0,0043","0,0135",,,,,,,,,,,,,"0,0064",
CZ072,Zlínský kraj,45–64,"0,0008",,,,,,,,,,,,,,"0,0008",,"0,0008",,,"0,0019",,,"0,0031",,,"0,0054","0,0029",,,"0,0024"
CZ072,Zlínský kraj,65–74,,,,,,,"0,0007",,,,"0,0008",,,,,,"0,0009",,,"0,0008",,"0,0008",,,"0,0029","0,0007",,,,"0,0008"
CZ072,Zlínský kraj,75–84,"0,0010","0,0005",,,,,"0,0006",,,,,"0,0009",,"0,0005",,,,,"0,0005","0,0015",,"0,0005",,,"0,0011","0,0017",,,"0,0005","0,0010"
CZ072,Zlínský kraj,85+,"0,0036","0,0016",,,,,"0,0022","0,0008",,"0,0008","0,0009","0,0008",,,,,"0,0014",,"0,0006","0,0005",,,,,,"0,0005","0,0004","0,0004","0,0009","0,0015"
