Kraj_ID,Kraj,Věková kategorie,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
CZ041,Karlovarský kraj,45–64,1.0,,,,,,,,,,,,,,,,,3.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,
CZ041,Karlovarský kraj,65–74,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,3.0,2.0,2.0,2.0,,,
CZ041,Karlovarský kraj,75–84,2.0,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,2.0,,,3.0,5.0,,,,2.0
CZ041,Karlovarský kraj,85+,,1.0,,,,,,1.0,,,,,,,,,,,,3.0,,,,,2.0,3.0,,,,
CZ063,Kraj Vysočina,Celá populace,12.0,13.0,4.0,2.0,2.0,9.0,4.0,2.0,,1.0,,12.0,1.0,5.0,5.0,8.0,5.0,2.0,4.0,9.0,4.0,10.0,8.0,16.0,21.0,20.0,12.0,2.0,10.0,19.0
CZ063,Kraj Vysočina,0–19,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,
CZ063,Kraj Vysočina,20–44,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,
CZ063,Kraj Vysočina,45–64,2.0,,,1.0,,,,,,,,1.0,,2.0,1.0,2.0,,,1.0,,,1.0,2.0,1.0,2.0,3.0,1.0,,1.0,1.0
CZ063,Kraj Vysočina,65–74,1.0,,,1.0,,1.0,,,,,,1.0,1.0,,1.0,1.0,2.0,,1.0,2.0,,1.0,1.0,5.0,4.0,9.0,2.0,,3.0,1.0
CZ063,Kraj Vysočina,75–84,5.0,5.0,1.0,,2.0,4.0,1.0,1.0,,,,2.0,,2.0,1.0,2.0,,1.0,1.0,5.0,3.0,5.0,3.0,1.0,7.0,3.0,6.0,,2.0,8.0
CZ063,Kraj Vysočina,85+,4.0,8.0,3.0,,,4.0,3.0,,,1.0,,7.0,,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,9.0,8.0,5.0,3.0,2.0,3.0,9.0
CZ052,Královéhradecký kraj,Celá populace,4.0,7.0,3.0,3.0,1.0,6.0,10.0,3.0,1.0,2.0,,1.0,,6.0,1.0,7.0,,5.0,2.0,7.0,,8.0,,9.0,34.0,16.0,7.0,,13.0,13.0
CZ052,Královéhradecký kraj,0–19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
CZ052,Královéhradecký kraj,20–44,1.0,,,,,,,,,,,,,,,2.0,,1.0,1.0,,,,,,,,,,1.0,
CZ052,Královéhradecký kraj,45–64,,1.0,,,,2.0,2.0,,,1.0,,,,1.0,,1.0,,1.0,,4.0,,3.0,,1.0,3.0,9.0,,,1.0,2.0
CZ052,Královéhradecký kraj,65–74,,,,,,1.0,1.0,1.0,,,,1.0,,,,1.0,,1.0,1.0,,,,,2.0,8.0,5.0,,,2.0,2.0
CZ052,Královéhradecký kraj,75–84,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,2.0,1.0,2.0,,,,1.0,,3.0,,3.0,12.0,2.0,1.0,,5.0,5.0
CZ052,Královéhradecký kraj,85+,,5.0,1.0,1.0,,1.0,6.0,,,,,,,3.0,,1.0,,2.0,,2.0,,2.0,,3.0,11.0,,6.0,,3.0,4.0
CZ051,Liberecký kraj,Celá populace,4.0,9.0,1.0,4.0,4.0,2.0,6.0,,1.0,2.0,1.0,,,2.0,,3.0,9.0,1.0,4.0,12.0,1.0,14.0,,3.0,17.0,3.0,5.0,1.0,5.0,20.0
CZ051,Liberecký kraj,0–19,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,
CZ051,Liberecký kraj,20–44,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,1.0
CZ051,Liberecký kraj,45–64,,,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,,,3.0
CZ051,Liberecký kraj,65–74,1.0,3.0,,,,,,,,,,,,1.0,,,,,,3.0,,4.0,,,2.0,1.0,2.0,1.0,,4.0
CZ051,Liberecký kraj,75–84,1.0,1.0,,2.0,1.0,1.0,2.0,,1.0,1.0,,,,1.0,,,2.0,,2.0,2.0,,7.0,,,10.0,1.0,2.0,,3.0,7.0
CZ051,Liberecký kraj,85+,2.0,5.0,,2.0,3.0,,3.0,,,1.0,,,,,,1.0,6.0,1.0,2.0,5.0,,3.0,,2.0,3.0,,,,1.0,5.0
CZ080,Moravskoslezský kraj,Celá populace,12.0,16.0,5.0,4.0,7.0,26.0,24.0,3.0,10.0,14.0,8.0,6.0,9.0,10.0,11.0,30.0,21.0,26.0,16.0,41.0,20.0,17.0,36.0,45.0,31.0,17.0,15.0,,3.0,25.0
CZ080,Moravskoslezský kraj,0–19,1.0,1.0,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,
CZ080,Moravskoslezský kraj,20–44,2.0,1.0,,,,1.0,,,,,,,,1.0,,4.0,2.0,3.0,,1.0,,,3.0,,2.0,2.0,,,,1.0
CZ080,Moravskoslezský kraj,45–64,,2.0,,1.0,,1.0,3.0,,1.0,1.0,,2.0,2.0,,,4.0,1.0,6.0,,9.0,1.0,2.0,6.0,5.0,9.0,4.0,3.0,,1.0,3.0
CZ080,Moravskoslezský kraj,65–74,2.0,1.0,,,,4.0,,,1.0,1.0,,1.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,7.0,2.0,4.0,7.0,10.0,5.0,5.0,7.0,,,4.0
CZ080,Moravskoslezský kraj,75–84,6.0,6.0,4.0,2.0,1.0,8.0,10.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0,7.0,7.0,5.0,6.0,11.0,2.0,5.0,8.0,12.0,11.0,5.0,4.0,,1.0,9.0
CZ080,Moravskoslezský kraj,85+,1.0,5.0,1.0,1.0,6.0,11.0,10.0,1.0,5.0,8.0,4.0,1.0,4.0,5.0,5.0,14.0,8.0,7.0,8.0,13.0,15.0,6.0,11.0,18.0,4.0,1.0,1.0,,1.0,8.0
CZ071,Olomoucký kraj,Celá populace,6.0,19.0,1.0,1.0,2.0,6.0,8.0,1.0,2.0,1.0,,,1.0,1.0,1.0,2.0,5.0,5.0,1.0,3.0,1.0,8.0,10.0,7.0,15.0,6.0,5.0,1.0,13.0,12.0
CZ071,Olomoucký kraj,0–19,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
CZ071,Olomoucký kraj,20–44,,2.0,1.0,,,,,,,,,,,,,,2.0,1.0,,,,,,,1.0,,,,,
CZ071,Olomoucký kraj,45–64,,,,,,2.0,,,,,,,,,,1.0,1.0,,1.0,,,3.0,2.0,1.0,2.0,2.0,1.0,,1.0,1.0
CZ071,Olomoucký kraj,65–74,2.0,1.0,,,,1.0,1.0,,1.0,,,,,1.0,,,,,,2.0,,1.0,4.0,,5.0,2.0,2.0,,1.0,1.0
CZ071,Olomoucký kraj,75–84,,4.0,,1.0,,2.0,,1.0,,1.0,,,1.0,,,,,,,1.0,1.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,3.0,6.0
CZ071,Olomoucký kraj,85+,4.0,12.0,,,2.0,1.0,7.0,,1.0,,,,,,1.0,1.0,2.0,4.0,,,,2.0,,2.0,2.0,,1.0,,8.0,4.0
