Kraj;Věková kategorie;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Liberecký kraj;65–74;1;3;;;;;;;;;;;;1;;;;;;3;;4;;;2;1;2;1;;4
Liberecký kraj;75–84;1;1;;2;1;1;2;;1;1;;;;1;;;2;;2;2;;7;;;10;1;2;;3;7
Liberecký kraj;85+;2;5;;2;3;;3;;;1;;;;;;1;6;1;2;5;;3;;2;3;;;;1;5
Moravskoslezský kraj;Celá populace;12;16;5;4;7;26;24;3;10;14;8;6;9;10;11;30;21;26;16;41;20;17;36;45;31;17;15;;3;25
Moravskoslezský kraj;0–19;1;1;;;;1;1;;;;;;;;;;1;;;;;;1;;;;;;;
Moravskoslezský kraj;20–44;2;1;;;;1;;;;;;;;1;;4;2;3;;1;;;3;;2;2;;;;1
Moravskoslezský kraj;45–64;;2;;1;;1;3;;1;1;;2;2;;;4;1;6;;9;1;2;6;5;9;4;3;;1;3
Moravskoslezský kraj;65–74;2;1;;;;4;;;1;1;;1;1;2;2;1;2;5;2;7;2;4;7;10;5;5;7;;;4
Moravskoslezský kraj;75–84;6;6;4;2;1;8;10;2;3;4;4;2;2;2;4;7;7;5;6;11;2;5;8;12;11;5;4;;1;9
Moravskoslezský kraj;85+;1;5;1;1;6;11;10;1;5;8;4;1;4;5;5;14;8;7;8;13;15;6;11;18;4;1;1;;1;8
Olomoucký kraj;Celá populace;6;19;1;1;2;6;8;1;2;1;;;1;1;1;2;5;5;1;3;1;8;10;7;15;6;5;1;13;12
Olomoucký kraj;0–19;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
Olomoucký kraj;20–44;;2;1;;;;;;;;;;;;;;2;1;;;;;;;1;;;;;
Olomoucký kraj;45–64;;;;;;2;;;;;;;;;;1;1;;1;;;3;2;1;2;2;1;;1;1
Olomoucký kraj;65–74;2;1;;;;1;1;;1;;;;;1;;;;;;2;;1;4;;5;2;2;;1;1
Olomoucký kraj;75–84;;4;;1;;2;;1;;1;;;1;;;;;;;1;1;2;3;4;5;2;1;1;3;6
Olomoucký kraj;85+;4;12;;;2;1;7;;1;;;;;;1;1;2;4;;;;2;;2;2;;1;;8;4
Pardubický kraj;Celá populace;5;13;5;2;1;9;3;1;2;;1;4;1;3;5;2;4;3;3;6;3;9;7;13;30;16;5;;13;13
Pardubický kraj;0–19;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;
