Kraj;Věková kategorie;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Jihočeský kraj;75–84;0,0010;0,0009;;0,0005;0,0015;0,0010;0,0016;;;0,0004;;;;0,0005;;0,0005;0,0009;0,0005;0,0019;0,0020;;0,0024;0,0005;0,0010;0,0037;0,0041;0,0013;;0,0021;0,0031
Jihočeský kraj;85+;0,0017;0,0015;0,0024;;;0,0007;0,0007;0,0007;;;;;;;0,0014;0,0032;0,0007;0,0018;0,0023;0,0017;0,0006;0,0045;0,0027;;0,0045;0,0023;0,0040;;0,0018;0,0024
Jihomoravský kraj;Celá populace;0,0018;0,0009;0,0002;0,0003;0,0003;0,0008;0,0004;0,0001;0,0002;0,0004;0,0002;0,0004;0,0002;0,0008;0,0009;0,0005;0,0004;0,0006;0,0006;0,0021;0,0004;0,0004;0,0006;0,0014;0,0019;0,0014;0,0009;0,0001;0,0007;0,0028
Jihomoravský kraj;0–19;;0,0067;;;;;;;;;;;;;;;;;;;0,0152;;;;0,0161;0,0167;;;;
Jihomoravský kraj;20–44;0,0018;0,0019;;;;;;;;;;;;0,0025;;0,0052;;;;0,0028;;;0,0032;;0,0028;0,0030;0,0031;;;
Jihomoravský kraj;45–64;0,0013;0,0004;;;;;0,0004;;;0,0004;0,0004;0,0009;;0,0009;0,0005;0,0005;0,0005;0,0005;;0,0046;;;0,0017;0,0006;0,0018;0,0006;0,0011;;;0,0020
Jihomoravský kraj;65–74;0,0018;0,0006;0,0003;;0,0007;;0,0004;;;;;0,0004;0,0005;0,0005;;;;0,0004;0,0009;0,0008;;0,0008;;0,0004;0,0011;0,0019;0,0010;;0,0007;0,0031
Jihomoravský kraj;75–84;0,0013;0,0008;0,0003;0,0003;0,0003;0,0011;;;0,0002;0,0002;;0,0002;0,0002;0,0007;0,0010;0,0005;0,0005;0,0014;0,0011;0,0017;;;0,0003;0,0020;0,0026;0,0012;0,0007;0,0002;0,0012;0,0033
Jihomoravský kraj;85+;0,0030;0,0015;;0,0011;0,0004;0,0021;0,0010;0,0004;0,0004;0,0012;0,0004;0,0004;;0,0011;0,0018;0,0003;0,0006;;0,0003;0,0018;0,0009;0,0008;0,0005;0,0020;0,0017;0,0012;0,0009;;0,0007;0,0028
Karlovarský kraj;Celá populace;0,0010;0,0003;0,0003;;;;;0,0003;;0,0003;;0,0003;;0,0003;;0,0003;;0,0010;0,0003;0,0019;;0,0009;0,0003;0,0012;0,0026;0,0035;0,0007;;;0,0006
Karlovarský kraj;20–44;;;0,0055;;;;;;;;;;;;;;;;;0,0174;;;;0,0097;0,0102;0,0103;;;;
