uzemni_celek;sezona;demografie;pocet_vakcinovanych;proockovanost
Kutná Hora;2019-2020;75828;4677;0.061679063142902356
Kutná Hora;2020-2021;76310;5424;0.0710784956100118
Kutná Hora;2021-2022;75683;5745;0.0759087245484455
Kutná Hora;2022-2023;78072;5865;0.07512296341838304
Kutná Hora;2023-2024;78431;6983;0.08903367290994632
Kutná Hora;2024-2025;78565;7059;0.08984916947750271
Liberec;2010-2011;170410;5497;0.03225749662578487
Liberec;2011-2012;170702;5796;0.03395390797998852
Liberec;2012-2013;171007;6268;0.036653470325776136
Liberec;2013-2014;171385;7059;0.04118796860868804
Liberec;2014-2015;171756;7735;0.04503481683318195
Liberec;2015-2016;172681;8079;0.046785691535258654
Liberec;2016-2017;173382;8953;0.051637424876861494
Liberec;2017-2018;173948;9189;0.05282613194747856
Liberec;2018-2019;174811;10200;0.0583487309151026
Liberec;2019-2020;175626;11292;0.06429571931263024
Liberec;2020-2021;175465;12326;0.07024762773202634
Liberec;2021-2022;173890;12576;0.07232158260969579
Liberec;2022-2023;179921;12481;0.06936933431895109
Liberec;2023-2024;180809;14331;0.0792604350447157
Liberec;2024-2025;180955;14729;0.0813959271642121
Liberecký kraj;2010-2011;439942;12852;0.029212941705952147
Liberecký kraj;2011-2012;438600;13635;0.031087551299589605
Liberecký kraj;2012-2013;438594;14678;0.033466030087050895
Liberecký kraj;2013-2014;438609;16651;0.0379631972896133
Liberecký kraj;2014-2015;438851;17700;0.040332595801308414
Liberecký kraj;2015-2016;439639;18894;0.04297616908418043
Liberecký kraj;2016-2017;440636;20260;0.04597899399958242
Liberecký kraj;2017-2018;441300;20915;0.04739406299569454
Liberecký kraj;2018-2019;442356;22626;0.05114884843881399
Liberecký kraj;2019-2020;443690;24836;0.055976019292749445
Liberecký kraj;2020-2021;442476;26311;0.0594631121235954
Liberecký kraj;2021-2022;437570;27330;0.06245857805608246
Liberecký kraj;2022-2023;449177;27190;0.06053293022572394
Liberecký kraj;2023-2024;450728;32513;0.07213441365967946
Liberecký kraj;2024-2025;449494;33203;0.07386750434933503
Litoměřice;2010-2011;117941;3641;0.0308713678873335
Litoměřice;2011-2012;119250;4141;0.034725366876310275
Litoměřice;2012-2013;119318;4424;0.03707738983221308
Litoměřice;2013-2014;119070;4820;0.040480389686738893
Litoměřice;2014-2015;118966;5590;0.04698821512028647
Litoměřice;2015-2016;119162;6151;0.051618804652489886
Litoměřice;2016-2017;119342;6512;0.05456586951785625
Litoměřice;2017-2018;119553;6871;0.05747241809072127
Litoměřice;2018-2019;119655;7281;0.06084994358781497
Litoměřice;2019-2020;119668;8215;0.06864826018651603
Litoměřice;2020-2021;119177;8759;0.0734957248462371
Litoměřice;2021-2022;117582;8941;0.07604055042438468
Litoměřice;2022-2023;119357;9166;0.07679482560721197
Litoměřice;2023-2024;119486;10284;0.0860686607636041
Litoměřice;2024-2025;119104;10188;0.08553868887694788
Louny;2010-2011;87220;3080;0.03531300160513644
Louny;2011-2012;86782;3143;0.036217187896107485
Louny;2012-2013;86613;3164;0.03653031300151247
Louny;2013-2014;86378;3568;0.04130681423510616
Louny;2014-2015;86463;3755;0.04342898118270243
Louny;2015-2016;86399;3894;0.04506996608757046
Louny;2016-2017;86346;4263;0.0493711347369884
Louny;2017-2018;86372;4181;0.04840689112212291
Louny;2018-2019;86486;4452;0.051476539555535
Louny;2019-2020;86691;4589;0.052935137442179696
Louny;2020-2021;86364;4472;0.05178083460701218
Louny;2021-2022;85381;4803;0.05625373326618334
Louny;2022-2023;87040;5276;0.06061580882352941
Louny;2023-2024;86899;5818;0.06695128827719536
Louny;2024-2025;86723;5419;0.06248630697738777
Mladá Boleslav;2010-2011;122816;2714;0.022098097967691507
Mladá Boleslav;2011-2012;123736;2858;0.023097562552531196
Mladá Boleslav;2012-2013;124470;3495;0.028079055194022658
Mladá Boleslav;2013-2014;124943;3824;0.03060595631608013
Mladá Boleslav;2014-2015;125931;4127;0.03277191477872803
Mladá Boleslav;2015-2016;126286;4316;0.03417639326607858
Mladá Boleslav;2016-2017;126825;4813;0.03794993100729351
Mladá Boleslav;2017-2018;127776;5195;0.04065708740295517
Mladá Boleslav;2018-2019;129136;5491;0.0425210630652955
Mladá Boleslav;2019-2020;130365;5961;0.04572546312277068
Mladá Boleslav;2020-2021;131042;6009;0.0458555272355428
Mladá Boleslav;2021-2022;127592;6770;0.05305975296256819
Mladá Boleslav;2022-2023;133876;6604;0.049329230033762585
Mladá Boleslav;2023-2024;136480;9465;0.06935082063305979
Mladá Boleslav;2024-2025;137726;9784;0.07103960036594398
Moravskoslezský kraj;2010-2011;1243220;26786;0.02154566367979923
Moravskoslezský kraj;2011-2012;1230613;28922;0.023502108298872188
Moravskoslezský kraj;2012-2013;1226602;30714;0.025039906995097023
Moravskoslezský kraj;2013-2014;1221832;35867;0.029355099555421694
Moravskoslezský kraj;2014-2015;1217676;36543;0.0300104461285268
Moravskoslezský kraj;2015-2016;1213311;38359;0.031615142366631474
Moravskoslezský kraj;2016-2017;1209879;41566;0.034355501665869065
Moravskoslezský kraj;2017-2018;1205886;44619;0.037001010045725716
Moravskoslezský kraj;2018-2019;1203299;48862;0.040606698750684574
Moravskoslezský kraj;2019-2020;1200539;53802;0.04481487065393128
Moravskoslezský kraj;2020-2021;1192834;58298;0.04887352305517784
Moravskoslezský kraj;2021-2022;1177989;60580;0.05142662622486288
Moravskoslezský kraj;2022-2023;1189674;60681;0.051006410159421825
Moravskoslezský kraj;2023-2024;1189204;71234;0.05990057214741962
Moravskoslezský kraj;2024-2025;1182613;70044;0.05922816677983415
Most;2010-2011;116797;3933;0.03367381011498583
Most;2011-2012;114795;3809;0.033180887669323575
Most;2012-2013;115005;4058;0.03528542237294031
Most;2013-2014;114419;4347;0.037991941897761734
Most;2014-2015;113857;4338;0.03810042421634155
Most;2015-2016;113371;4480;0.039516278413350855
Most;2016-2017;112881;5001;0.04430329284822069
Most;2017-2018;112594;5104;0.04533101230971455
Most;2018-2019;112049;5496;0.04904996920989924
Most;2019-2020;111708;5839;0.052270204461632115
Most;2020-2021;110933;5511;0.04967863485166722
Most;2021-2022;106773;6193;0.05800155470015828
Most;2022-2023;108116;6181;0.05717007658440934
Most;2023-2024;107952;6901;0.06392655995257152
Most;2024-2025;107536;6627;0.06162587412587413
Mělník;2010-2011;102628;2523;0.0245839342089878
Mělník;2011-2012;104169;2609;0.025045838973207
Mělník;2012-2013;104148;2969;0.02850750854553136
Mělník;2013-2014;104151;3406;0.0327025184587762
Mělník;2014-2015;104973;3383;0.032227334647957094
Mělník;2015-2016;105594;3628;0.03435801276587685
Mělník;2016-2017;106516;4051;0.03803184498103571
Mělník;2017-2018;107237;4296;0.04006079991047866
Mělník;2018-2019;108352;4565;0.04213120200826934
Mělník;2019-2020;109302;5092;0.04658652174708606
Mělník;2020-2021;109987;5633;0.05121514360788093
Mělník;2021-2022;109354;5911;0.054053806902353826
Mělník;2022-2023;113100;5728;0.05064544650751547
Mělník;2023-2024;114115;7211;0.06319064102002366
Mělník;2024-2025;114783;7129;0.06210850038768807
Neuvedeno;2010-2011;;47701;
Neuvedeno;2011-2012;;42686;
Neuvedeno;2012-2013;;36648;
Neuvedeno;2013-2014;;32717;
Neuvedeno;2014-2015;;27780;
Neuvedeno;2015-2016;;23143;
Neuvedeno;2016-2017;;18792;
Neuvedeno;2017-2018;;13610;
Neuvedeno;2018-2019;;9200;
Neuvedeno;2019-2020;;4661;
Neuvedeno;2020-2021;;1031;
Neuvedeno;2021-2022;;653;
Neuvedeno;2022-2023;;829;
Neuvedeno;2023-2024;;2980;
Neuvedeno;2024-2025;;3521;
Nový Jičín;2010-2011;152524;3553;0.023294694605439144
Nový Jičín;2011-2012;152222;3793;0.024917554624167334
Nový Jičín;2012-2013;151960;3994;0.026283232429586734
Nový Jičín;2013-2014;151899;4473;0.029447198467402683
Nový Jičín;2014-2015;151724;4448;0.029316390287627534
Nový Jičín;2015-2016;151762;4647;0.030620313385432453
Nový Jičín;2016-2017;151737;4818;0.03175230827023073
Nový Jičín;2017-2018;151566;5285;0.03486929786363696
Nový Jičín;2018-2019;151680;5645;0.03721650843881857
Nový Jičín;2019-2020;151577;6111;0.04031614295044763
Nový Jičín;2020-2021;151398;6297;0.041592359212142826
Nový Jičín;2021-2022;149919;6829;0.04555126434941535
Nový Jičín;2022-2023;151814;6757;0.04450841160894252
Nový Jičín;2023-2024;151781;8389;0.05527042251665228
Nový Jičín;2024-2025;151331;8614;0.05692158249136
Nymburk;2010-2011;92679;1594;0.01719914975345008
Nymburk;2011-2012;94360;2050;0.02172530733361594
Nymburk;2012-2013;95279;2198;0.023069091825061137
Nymburk;2013-2014;95963;2683;0.027958692412700728
Nymburk;2014-2015;96689;2911;0.03010683738584534
Nymburk;2015-2016;97339;3193;0.032802884763558283
Nymburk;2016-2017;97894;3529;0.03604919606921773
Nymburk;2017-2018;98837;3527;0.035685016744741345
Nymburk;2018-2019;99873;3764;0.03768786358675518
Nymburk;2019-2020;100886;4317;0.042790872866403665
Nymburk;2020-2021;101698;4420;0.04346201498554544
Nymburk;2021-2022;101120;5045;0.04989121835443038
Nymburk;2022-2023;105463;5157;0.04889866588282146
Nymburk;2023-2024;106551;6598;0.06192339818490676
Nymburk;2024-2025;107638;6862;0.06375072000594585
Náchod;2010-2011;112294;3588;0.031951840703866634
Náchod;2011-2012;112206;3871;0.03449904639680588
Náchod;2012-2013;111874;3983;0.035602552871980976
Náchod;2013-2014;111595;4838;0.04335319682781487
Náchod;2014-2015;111130;4854;0.043678574642310806
Náchod;2015-2016;110869;5082;0.04583788074213712
Náchod;2016-2017;110518;5374;0.048625563256664076
Náchod;2017-2018;110420;5665;0.051304111573990216
Náchod;2018-2019;110240;6289;0.057048258345428156
Náchod;2019-2020;109958;6700;0.06093235599046909
Náchod;2020-2021;109487;7335;0.06699425502571081
Náchod;2021-2022;107973;7459;0.06908208533614885
Náchod;2022-2023;110322;7272;0.0659161364007179
Náchod;2023-2024;110453;8550;0.07740849048916734
Náchod;2024-2025;109747;8528;0.07770599651926705
Olomouc;2010-2011;232226;7115;0.0306382575594464
Olomouc;2011-2012;232032;7102;0.030607847193490554
Olomouc;2012-2013;232267;7941;0.03418910133596249
Olomouc;2013-2014;232474;8836;0.0380085514939305
Olomouc;2014-2015;233192;8928;0.03828604754880099
Olomouc;2015-2016;233755;9331;0.03991786271951402
Olomouc;2016-2017;233992;10003;0.04274932476323977
Olomouc;2017-2018;234344;10294;0.043926876728228585
Olomouc;2018-2019;234939;11026;0.04693133111148
Olomouc;2019-2020;235472;11818;0.05018855745056737
Olomouc;2020-2021;235441;12372;0.05254819678815499
Olomouc;2021-2022;233588;13336;0.057091973902768975
Olomouc;2022-2023;237940;13068;0.05492140875851055
Olomouc;2023-2024;238843;15443;0.06465753654074015
Olomouc;2024-2025;239399;15199;0.06348815157958053
Olomoucký kraj;2010-2011;641681;18738;0.02920142563049241
Olomoucký kraj;2011-2012;638638;19258;0.03015479817987655
Olomoucký kraj;2012-2013;637609;20758;0.03255600218942957
Olomoucký kraj;2013-2014;636356;22952;0.0360678613857652
Olomoucký kraj;2014-2015;635711;23269;0.036603110532930846
Olomoucký kraj;2015-2016;634718;24393;0.03843124033035143
Olomoucký kraj;2016-2017;633925;26770;0.042228970304058054
Olomoucký kraj;2017-2018;633178;27418;0.04330219938153252
Olomoucký kraj;2018-2019;632492;30034;0.047485185583374966
Olomoucký kraj;2019-2020;632015;32816;0.05192281828754065
Olomoucký kraj;2020-2021;630522;33933;0.05381731327376364
Olomoucký kraj;2021-2022;622930;35789;0.057452683287046696
Olomoucký kraj;2022-2023;631802;34909;0.0552530697908522
Olomoucký kraj;2023-2024;632864;40496;0.06398847145674268
Olomoucký kraj;2024-2025;631500;39270;0.06218527315914489
Opava;2010-2011;177236;4402;0.024836940576406598
Opava;2011-2012;177173;4675;0.02638663904771043
Opava;2012-2013;177079;5130;0.028970120680600186
Opava;2013-2014;177010;5729;0.0323654030845715
Opava;2014-2015;176807;5751;0.03252699270956467
Opava;2015-2016;176742;6128;0.03467200778535945
Opava;2016-2017;176600;6728;0.03809739524348811
Opava;2017-2018;176385;6877;0.03898857612608782
Opava;2018-2019;176254;7392;0.04193947371407174
Opava;2019-2020;176236;8444;0.04791302571551783
Opava;2020-2021;175777;8788;0.04999516432752863
Opava;2021-2022;173753;9377;0.05396741351228468
Opava;2022-2023;175042;9449;0.0539813301950389
Opava;2023-2024;175239;11380;0.06493988210386957
Opava;2024-2025;174423;11106;0.06367279544555478
Ostrava-město;2010-2011;333579;7563;0.02267229052188537
Ostrava-město;2011-2012;329961;7723;0.023405796442609886
Ostrava-město;2012-2013;328323;8316;0.025328715929130764
Ostrava-město;2013-2014;326874;10186;0.031161854414850983
Ostrava-město;2014-2015;325640;10128;0.031101830241985016
Ostrava-město;2015-2016;324311;10749;0.0331441116705878
Ostrava-město;2016-2017;323464;11400;0.035243489229095044
Ostrava-město;2017-2018;322419;12683;0.039337011776601254
Ostrava-město;2018-2019;321273;13727;0.04272690204281094
Ostrava-město;2019-2020;320145;15147;0.0473129363257274
Ostrava-město;2020-2021;317322;17446;0.05497885428681276
Ostrava-město;2021-2022;312104;17061;0.05466447081741983
Ostrava-město;2022-2023;316149;17254;0.05457553242300308
Ostrava-město;2023-2024;317586;20399;0.064231420780513
Ostrava-město;2024-2025;316155;20105;0.06358906232702313
Pardubice;2010-2011;168446;5015;0.02977215249991095
Pardubice;2011-2012;167750;5052;0.03011624441132638
Pardubice;2012-2013;168237;5366;0.03189548078008999
Pardubice;2013-2014;168569;6358;0.037717492540146766
Pardubice;2014-2015;169248;6352;0.037530724144450744
Pardubice;2015-2016;169836;6516;0.038366424079700416
Pardubice;2016-2017;170848;7613;0.044560076793407004
Pardubice;2017-2018;172022;7878;0.04579646789364151
Pardubice;2018-2019;173329;9065;0.05229938440768712
Pardubice;2019-2020;175441;9231;0.05261597916108549
Pardubice;2020-2021;176137;9952;0.05650147328499974
Pardubice;2021-2022;172224;10370;0.060212281679672984
Pardubice;2022-2023;179537;10241;0.057041167001787935
Pardubice;2023-2024;180888;12202;0.06745610543540755
Pardubice;2024-2025;181213;12262;0.06766622703669163
Pardubický kraj;2010-2011;517164;14767;0.028553804982558724
Pardubický kraj;2011-2012;516411;15752;0.030502835919451753
Pardubický kraj;2012-2013;516440;16812;0.03255363643404849
Pardubický kraj;2013-2014;515985;19335;0.03747201953545161
Pardubický kraj;2014-2015;516372;20160;0.039041621156840414
Pardubický kraj;2015-2016;516149;20793;0.04028487897874451
Pardubický kraj;2016-2017;517087;23897;0.04621466020224836
Pardubický kraj;2017-2018;518337;25208;0.0486324534038666
Pardubický kraj;2018-2019;520316;28135;0.05407290953958748
Pardubický kraj;2019-2020;522662;29783;0.05698328939161446
Pardubický kraj;2020-2021;522856;30293;0.057937558333460835
Pardubický kraj;2021-2022;514518;32281;0.06274027342094932
Pardubický kraj;2022-2023;528761;32118;0.06074199874801659
Pardubický kraj;2023-2024;530560;37374;0.07044255126658625
Pardubický kraj;2024-2025;530469;37696;0.07106164544959272
Pelhřimov;2010-2011;72875;3123;0.042854202401372214
Pelhřimov;2011-2012;72460;3210;0.044300303615788024
Pelhřimov;2012-2013;72411;3230;0.044606482440513184
Pelhřimov;2013-2014;72224;3452;0.04779574656623837
Pelhřimov;2014-2015;72061;3277;0.04547536115235703
Pelhřimov;2015-2016;72061;3368;0.046738180152925995
Pelhřimov;2016-2017;71977;3567;0.04955749753393445
Pelhřimov;2017-2018;72143;3939;0.05459989188140221
Pelhřimov;2018-2019;72226;4254;0.05889845761913992
Pelhřimov;2019-2020;72302;4552;0.0629581477690797
Pelhřimov;2020-2021;72298;4549;0.06292013610335002
Pelhřimov;2021-2022;71571;5053;0.070601221164997
Pelhřimov;2022-2023;74133;5079;0.06851199870503015
Pelhřimov;2023-2024;74575;6104;0.08185048608783105
Pelhřimov;2024-2025;74218;5873;0.07913174701554879
Plzeň-jih;2010-2011;61655;2707;0.04390560376287406
Plzeň-jih;2011-2012;62033;2540;0.04094594812438541
Plzeň-jih;2012-2013;62163;2533;0.04074771166127761
Plzeň-jih;2013-2014;62110;2719;0.0437771695379166
Plzeň-jih;2014-2015;62226;2652;0.04261884099893935
Plzeň-jih;2015-2016;62262;2662;0.04275481031768976
Plzeň-jih;2016-2017;62445;2762;0.044230923212426936
Plzeň-jih;2017-2018;62736;2703;0.04308530986993114
Plzeň-jih;2018-2019;63004;2841;0.04509237508729604
Plzeň-jih;2019-2020;63488;3105;0.04890688004032258
Plzeň-jih;2020-2021;63615;3275;0.05148156881238702
Plzeň-jih;2021-2022;68918;3391;0.049203401143387795
Plzeň-jih;2022-2023;70989;3525;0.04965558044204032
Plzeň-jih;2023-2024;71593;3997;0.055829480535806573
Plzeň-jih;2024-2025;71728;3990;0.055626812402409104
Plzeň-město;2010-2011;184885;5855;0.03166833437001379
Plzeň-město;2011-2012;184871;5694;0.03079985503405077
Plzeň-město;2012-2013;185275;5761;0.03109431925516125
Plzeň-město;2013-2014;186077;6599;0.03546381336758439
Plzeň-město;2014-2015;187245;6163;0.03291409650457956
Plzeň-město;2015-2016;188190;6634;0.035251607418034965
Plzeň-město;2016-2017;189131;7082;0.03744494556682934
Plzeň-město;2017-2018;189747;7192;0.03790310255234602
Plzeň-město;2018-2019;191599;7847;0.04095532857687149
Plzeň-město;2019-2020;194280;9050;0.0465822524191888
Plzeň-město;2020-2021;194840;9594;0.04924040238144118
Plzeň-město;2021-2022;188407;10428;0.05534826200725026
Plzeň-město;2022-2023;201517;11037;0.054769572790384934
Plzeň-město;2023-2024;206013;13111;0.06364161484954833
Plzeň-město;2024-2025;208461;12741;0.06111934606473153
Plzeň-sever;2010-2011;75470;2013;0.02667285013912813
Plzeň-sever;2011-2012;75718;2075;0.027404316014686073
Plzeň-sever;2012-2013;76232;2235;0.02931839647392171
Plzeň-sever;2013-2014;76673;2521;0.03287989253061704
Plzeň-sever;2014-2015;77022;2565;0.03330217340500117
Plzeň-sever;2015-2016;77478;2667;0.034422674823820956
Plzeň-sever;2016-2017;78007;2784;0.03568910482392606
Plzeň-sever;2017-2018;78561;2945;0.0374867937017095
Plzeň-sever;2018-2019;79278;3387;0.04272307575872247
Plzeň-sever;2019-2020;79979;3726;0.04658722914765126
Plzeň-sever;2020-2021;80671;3890;0.04822055013573651
Plzeň-sever;2021-2022;80666;4203;0.052103736394515654
Plzeň-sever;2022-2023;83069;4311;0.05189661606616187
Plzeň-sever;2023-2024;83421;5172;0.06199877728629482
Plzeň-sever;2024-2025;83649;5046;0.06032349460244593
Plzeňský kraj;2010-2011;572045;17945;0.031369909709900445
Plzeňský kraj;2011-2012;571709;17776;0.031092741237237827
Plzeňský kraj;2012-2013;572687;17829;0.0311321891364742
Plzeňský kraj;2013-2014;573469;19866;0.03464180278271362
Plzeňský kraj;2014-2015;575123;19266;0.033498921100355926
Plzeňský kraj;2015-2016;576616;20106;0.034868959584888386
Plzeňský kraj;2016-2017;578629;21422;0.037021995095302865
Plzeňský kraj;2017-2018;580816;21813;0.037555783587229004
Plzeňský kraj;2018-2019;584672;24234;0.041448880739970446
Plzeňský kraj;2019-2020;589899;26858;0.04552982798750294
Plzeňský kraj;2020-2021;591041;27975;0.04733174179117861
Plzeňský kraj;2021-2022;578707;30587;0.052854034943416964
Plzeňský kraj;2022-2023;605388;30970;0.05115727434306593
Plzeňský kraj;2023-2024;613374;36203;0.05902271697202686
Plzeňský kraj;2024-2025;614640;35785;0.058221072497722244
Prachatice;2010-2011;51471;1448;0.02813234636980047
Prachatice;2011-2012;51081;1584;0.031009573031068303
Prachatice;2012-2013;51030;1528;0.029943170683911426
Prachatice;2013-2014;50938;1782;0.03498370568141662
Prachatice;2014-2015;50800;1798;0.035393700787401575
Prachatice;2015-2016;50712;1772;0.034942419940053634
Prachatice;2016-2017;50695;1701;0.03355360489200118
Prachatice;2017-2018;50700;1912;0.03771203155818541
Prachatice;2018-2019;50971;2161;0.04239665692256381
Prachatice;2019-2020;50978;2525;0.04953117030876064
Prachatice;2020-2021;50779;2622;0.05163551861990193
Prachatice;2021-2022;50230;2852;0.05677881743977702
Prachatice;2022-2023;51444;2828;0.054972397169737966
Prachatice;2023-2024;51474;3435;0.06673271943116914
Prachatice;2024-2025;51061;3442;0.06740956894694582
Praha-východ;2010-2011;146403;4000;0.027321844497722042
Praha-východ;2011-2012;151451;4099;0.02706485926141128
Praha-východ;2012-2013;155588;4212;0.027071496516440856
Praha-východ;2013-2014;159765;5165;0.032328732826338684
Praha-východ;2014-2015;164002;5239;0.03194473238131242
Praha-východ;2015-2016;167851;5821;0.03467956699691989
Praha-východ;2016-2017;171914;6432;0.037414055865141876
Praha-východ;2017-2018;176203;6841;0.038824537607191706
Praha-východ;2018-2019;180945;7574;0.04185802315620769
Praha-východ;2019-2020;185178;8332;0.04499454578837659
Praha-východ;2020-2021;188939;8873;0.0469622470744526
Praha-východ;2021-2022;188384;9975;0.05295035671819263
Praha-východ;2022-2023;198312;10110;0.050980273508410986
Praha-východ;2023-2024;202067;13790;0.06824469111730268
Praha-východ;2024-2025;204547;14167;0.06926036558834889
Praha-západ;2010-2011;120990;2605;0.021530705016943548
Praha-západ;2011-2012;124799;2787;0.02233190971081499
Praha-západ;2012-2013;128326;3246;0.025294951919330455
Praha-západ;2013-2014;131206;3739;0.028497172385409202
Praha-západ;2014-2015;134351;3498;0.026036278107345684
Praha-západ;2015-2016;137523;3877;0.028191647942525978
Praha-západ;2016-2017;140208;4377;0.031217904827114003
Praha-západ;2017-2018;142910;4744;0.03319571758449374
Praha-západ;2018-2019;146004;5027;0.03443056354620421
Praha-západ;2019-2020;149338;5848;0.03915949055163455
Praha-západ;2020-2021;152285;6470;0.04248612798371475
Praha-západ;2021-2022;151093;7349;0.04863891775264241
Praha-západ;2022-2023;158235;7456;0.047119790185483616
Praha-západ;2023-2024;160626;10759;0.06698168416072117
Praha-západ;2024-2025;161920;11459;0.07076951581027668
Prostějov;2010-2011;110182;3480;0.0315841062968543
Prostějov;2011-2012;109539;3512;0.03206164014643186
Prostějov;2012-2013;109346;3683;0.03368207341832349
Prostějov;2013-2014;109223;4156;0.03805059373941386
Prostějov;2014-2015;109037;4162;0.03817052926988087
Prostějov;2015-2016;108793;4245;0.03901905453475867
Prostějov;2016-2017;108757;4630;0.04257197237878941
Prostějov;2017-2018;108669;4697;0.043222998279178054
Prostějov;2018-2019;108587;5267;0.04850488548352934
Prostějov;2019-2020;108646;5905;0.05435082745798281
Prostějov;2020-2021;108504;6528;0.06016368060163681
Prostějov;2021-2022;107580;6255;0.05814277746793084
Prostějov;2022-2023;108717;6098;0.056090583809339845
Prostějov;2023-2024;108930;7292;0.06694207289084733
Prostějov;2024-2025;108923;6869;0.06306289764328929
Písek;2010-2011;70673;1728;0.024450638857838214
Písek;2011-2012;70460;1926;0.027334657961964236
Písek;2012-2013;70524;2022;0.028671090692530203
Písek;2013-2014;70504;2295;0.032551344604561445
Písek;2014-2015;70634;2405;0.034048758388311576
Písek;2015-2016;70741;2464;0.034831285958637846
Písek;2016-2017;70870;2755;0.0388739946380697
Písek;2017-2018;71067;2895;0.04073620667820507
Písek;2018-2019;71308;3495;0.04901273349413811
Písek;2019-2020;71587;3970;0.05545699638202467
Písek;2020-2021;71588;4112;0.05743979437894619
Písek;2021-2022;70769;4876;0.06890022467464568
Písek;2022-2023;72525;4917;0.06779731127197518
Písek;2023-2024;72851;5853;0.08034206805671851
Písek;2024-2025;72912;5740;0.07872503840245776
Přerov;2010-2011;133932;2979;0.02224263058865693
Přerov;2011-2012;133023;3312;0.024897949978575133
Přerov;2012-2013;132662;3523;0.026556210519968038
Přerov;2013-2014;132014;3913;0.029640795673186178
Přerov;2014-2015;131646;4009;0.0304528812117345
Přerov;2015-2016;131124;4291;0.0327247490924621
Přerov;2016-2017;130931;4863;0.0371417005903873
Přerov;2017-2018;130515;5164;0.03956633337164311
Přerov;2018-2019;129925;5641;0.04341735616701944
Přerov;2019-2020;129512;6408;0.04947804064488233
Přerov;2020-2021;128901;6463;0.05013925415629049
Přerov;2021-2022;126613;6708;0.05298034167107643
Přerov;2022-2023;128180;6521;0.0508737712591668
Přerov;2023-2024;128304;7502;0.05847050754458162
Přerov;2024-2025;127286;7295;0.057311880332479616
Příbram;2010-2011;112578;3143;0.027918421005880368
Příbram;2011-2012;113662;3372;0.02966690714574792
Příbram;2012-2013;113905;3572;0.03135946622185154
Příbram;2013-2014;114033;4088;0.03584927170205116
Příbram;2014-2015;114084;4218;0.03697275691595666
Příbram;2015-2016;114206;4776;0.04181916887028703
Příbram;2016-2017;114219;5367;0.04698867964174087
Příbram;2017-2018;114403;5676;0.04961408354676014
Příbram;2018-2019;114778;6140;0.05349457213054767
Příbram;2019-2020;115104;6725;0.05842542396441479
Příbram;2020-2021;115236;6938;0.06020687979450866
Příbram;2021-2022;114366;7797;0.06817585646083626
Příbram;2022-2023;117554;7944;0.06757745376592884
Příbram;2023-2024;118150;9583;0.08110876005078291
Příbram;2024-2025;118285;9448;0.07987487847148836
Rakovník;2010-2011;55641;1302;0.023400010783415106
Rakovník;2011-2012;55498;1510;0.027208187682439006
Rakovník;2012-2013;55411;1608;0.0290195087617982
Rakovník;2013-2014;55329;1888;0.03412315422292107
Rakovník;2014-2015;55389;1885;0.03403202802000397
Rakovník;2015-2016;55258;2016;0.036483405117810994
Rakovník;2016-2017;55309;2230;0.04031893543546258
Rakovník;2017-2018;55407;2462;0.04443481870521775
Rakovník;2018-2019;55565;2636;0.047439935211014125
Rakovník;2019-2020;55562;3001;0.0540117346387819
Rakovník;2020-2021;55737;2736;0.04908767963830131
Rakovník;2021-2022;54898;3211;0.05849029108528544
Rakovník;2022-2023;56058;3369;0.060098469442363266
Rakovník;2023-2024;56410;3876;0.0687112214146428
Rakovník;2024-2025;56494;3837;0.0679187170318972
Rokycany;2010-2011;47207;1315;0.02785603829940475
Rokycany;2011-2012;47613;1360;0.02856362758070275
Rokycany;2012-2013;47770;1459;0.030542181285325518
Rokycany;2013-2014;47799;1510;0.031590619050607754
Rokycany;2014-2015;47887;1521;0.03176227368596905
Rokycany;2015-2016;47967;1549;0.032293034794754726
Rokycany;2016-2017;48184;1632;0.03387016436991532
Rokycany;2017-2018;48602;1634;0.033620015637216574
Rokycany;2018-2019;48966;1813;0.037025691296001306
Rokycany;2019-2020;49349;1950;0.039514478510202844
Rokycany;2020-2021;49489;2000;0.04041302107539049
Rokycany;2021-2022;48770;2313;0.04742669673979906
Rokycany;2022-2023;50258;2250;0.044768992001273426
Rokycany;2023-2024;50804;2791;0.05493661916384537
Rokycany;2024-2025;50796;2772;0.05457122608079376
Rychnov nad Kněžnou;2010-2011;79152;1614;0.020391146149181322
Rychnov nad Kněžnou;2011-2012;79086;1644;0.020787497154995827
Rychnov nad Kněžnou;2012-2013;79169;1837;0.023203526632899242
Rychnov nad Kněžnou;2013-2014;78933;2487;0.03150773440766219
Rychnov nad Kněžnou;2014-2015;78926;2610;0.03306895066264602
Rychnov nad Kněžnou;2015-2016;78861;2883;0.03655799444592384
Rychnov nad Kněžnou;2016-2017;78772;3145;0.03992535418676687
Rychnov nad Kněžnou;2017-2018;78979;3373;0.04270755517289406
Rychnov nad Kněžnou;2018-2019;79088;3697;0.04674539753186324
Rychnov nad Kněžnou;2019-2020;79383;3990;0.05026265069347342
Rychnov nad Kněžnou;2020-2021;79333;4265;0.05376073008710121
Rychnov nad Kněžnou;2021-2022;78424;4480;0.057125369784759766
Rychnov nad Kněžnou;2022-2023;80186;4556;0.05681789838625197
Rychnov nad Kněžnou;2023-2024;80884;5710;0.07059492606696009
Rychnov nad Kněžnou;2024-2025;80808;5574;0.06897831897831898
